Gender,Name,Total,
Boy,James,5304407,
Boy,John,5260831,
Boy,Robert,4970386,
Boy,Michael,4579950,
Boy,William,4226608,
Girl,Mary,4169663,
Boy,David,3787547,
Boy,Joseph,2695970,
Boy,Richard,2638187,
Boy,Charles,2433540,
Boy,Thomas,2381034,
Boy,Christopher,2196198,
Boy,Daniel,2039641,
Boy,Matthew,1738699,
Girl,Elizabeth,1704140,
Girl,Patricia,1608260,
Girl,Jennifer,1584426,
Boy,Anthony,1506437,
Boy,George,1495736,
Girl,Linda,1480592,
Girl,Barbara,1459870,
Boy,Donald,1447641,
Boy,Paul,1437346,
Boy,Mark,1410637,
Boy,Andrew,1394274,
Boy,Steven,1347137,
Boy,Kenneth,1321790,
Boy,Edward,1319807,
Boy,Joshua,1316998,
Girl,Margaret,1280255,
Boy,Brian,1239444,
Boy,Kevin,1237204,
Girl,Jessica,1173979,
Girl,Sarah,1162143,
Girl,Susan,1154677,
Boy,Timothy,1122610,
Girl,Dorothy,1118450,
Boy,Jason,1112091,
Boy,Ronald,1111459,
Girl,Helen,1033566,
Boy,Ryan,1026185,
Boy,Jeffrey,1020570,
Girl,Karen,1018083,
Girl,Nancy,1016057,
Girl,Betty,1005188,
Girl,Lisa,1005108,
Boy,Jacob,975297,
Boy,Nicholas,968611,
Girl,Ashley,957384,
Boy,Eric,932323,
Boy,Frank,924751,
Boy,Gary,924718,
Girl,Anna,916075,
Boy,Stephen,906367,
Boy,Jonathan,901897,
Girl,Sandra,901623,
Girl,Emily,899883,
Girl,Amanda,886371,
Girl,Kimberly,874977,
Girl,Michelle,862683,
Girl,Donna,849167,
Boy,Justin,846720,
Girl,Laura,842865,
Girl,Ruth,832959,
Girl,Carol,831393,
Boy,Brandon,828500,
Boy,Larry,818093,
Boy,Scott,811733,
Girl,Melissa,808067,
Girl,Stephanie,802059,
Boy,Benjamin,800321,
Boy,Raymond,795468,
Boy,Samuel,791052,
Girl,Rebecca,788998,
Girl,Deborah,757908,
Boy,Gregory,746456,
Girl,Sharon,742904,
Girl,Kathleen,736220,
Girl,Amy,731739,
Girl,Cynthia,723943,
Boy,Alexander,716159,
Boy,Patrick,713972,
Boy,Jack,711970,
Boy,Henry,702836,
Girl,Angela,699210,
Girl,Shirley,698062,
Girl,Emma,693904,
Girl,Catherine,686347,
Girl,Katherine,671534,
Girl,Virginia,654643,
Girl,Nicole,653738,
Boy,Dennis,634888,
Boy,Walter,631880,
Boy,Tyler,627809,
Boy,Peter,624703,
Girl,Brenda,623319,
Boy,Aaron,623260,
Boy,Jerry,619534,
Girl,Christine,618510,
Girl,Samantha,614650,
Boy,Adam,613090,
Girl,Rachel,608929,
Girl,Pamela,608542,
Girl,Frances,597703,
Boy,Nathan,588399,
Boy,Douglas,587147,
Girl,Heather,584816,
Girl,Evelyn,583016,
Boy,Jose,582242,
Girl,Alice,571812,
Girl,Janet,569909,
Girl,Maria,567973,
Boy,Zachary,567305,
Girl,Carolyn,565635,
Girl,Debra,562674,
Boy,Harold,556704,
Girl,Martha,552497,
Girl,Marie,548785,
Boy,Arthur,540307,
Girl,Julie,532960,
Boy,Kyle,532546,
Girl,Diane,530707,
Girl,Christina,519041,
Girl,Victoria,514307,
Girl,Joyce,513332,
Boy,Carl,511826,
Girl,Lauren,511468,
Girl,Grace,509446,
Girl,Kelly,505014,
Boy,Albert,497184,
Girl,Rose,489578,
Girl,Megan,489524,
Girl,Joan,489178,
Boy,Jeremy,476599,
Girl,Ann,476259,
Girl,Julia,474896,
Girl,Kathryn,474269,
Boy,Lawrence,469128,
Girl,Olivia,468892,
Girl,Judith,466109,
Girl,Doris,465461,
Girl,Jean,464229,
Girl,Andrea,463819,
Boy,Gerald,459573,
Boy,Sean,456056,
Boy,Joe,454987,
Boy,Keith,454311,
Girl,Sara,453924,
Girl,Cheryl,453366,
Girl,Hannah,452249,
Girl,Mildred,452211,
Boy,Willie,452027,
Girl,Lillian,450001,
Boy,Roger,449323,
Boy,Jesse,446751,
Girl,Jacqueline,442645,
Boy,Ethan,440943,
Boy,Terry,434103,
Boy,Christian,432774,
Boy,Harry,428640,
Girl,Teresa,427017,
Boy,Austin,426133,
Girl,Gloria,419045,
Boy,Ralph,417786,
Girl,Janice,416428,
Boy,Roy,413772,
Girl,Theresa,412817,
Girl,Amber,411042,
Girl,Danielle,408784,
Boy,Noah,406062,
Boy,Bryan,405573,
Boy,Jordan,405211,
Boy,Louis,402583,
Girl,Brittany,400503,
Boy,Bruce,397629,
Girl,Madison,390237,
Girl,Judy,387362,
Boy,Billy,387105,
Boy,Dylan,386496,
Girl,Denise,384420,
Girl,Beverly,383574,
Boy,Eugene,382946,
Girl,Jane,379650,
Girl,Marilyn,379650,
Girl,Abigail,376102,
Girl,Diana,373821,
Girl,Charlotte,373216,
Girl,Natalie,373128,
Girl,Tiffany,369806,
Boy,Wayne,369307,
Boy,Russell,365975,
Boy,Alan,364887,
Girl,Crystal,364045,
Girl,Sophia,361184,
Girl,Irene,359429,
Boy,Juan,357801,
Girl,Ruby,357535,
Boy,Gabriel,357532,
Boy,Philip,356424,
Girl,Annie,355337,
Girl,Kayla,353100,
Boy,Vincent,352791,
Girl,Lori,349991,
Boy,Howard,349397,
Girl,Alexis,348161,
Girl,Erin,345327,
Boy,Fred,345020,
Boy,Logan,344794,
Girl,Isabella,343387,
Girl,Tammy,340673,
Girl,Louise,339242,
Girl,Florence,338889,
Boy,Randy,337986,
Boy,Bradley,336744,
Girl,Kathy,336470,
Girl,Lois,335648,
Girl,Anne,333573,
Girl,Bonnie,332401,
Boy,Victor,330614,
Girl,Taylor,330580,
Boy,Travis,328502,
Girl,Phyllis,325658,
Boy,Shawn,325287,
Boy,Phillip,322731,
Girl,Shannon,321264,
Boy,Martin,319665,
Boy,Johnny,318870,
Boy,Craig,318864,
Girl,Allison,318564,
Boy,Bobby,318251,
Girl,Alyssa,318123,
Girl,Ella,312855,
Girl,Josephine,312080,
Boy,Ernest,307247,
Boy,Stanley,306812,
Boy,Cody,306357,
Boy,Clarence,305503,
Girl,Tina,300693,
Boy,Elijah,299860,
Boy,Leonard,299746,
Boy,Carlos,297730,
Girl,Dawn,297675,
Girl,Robin,296764,
Girl,Edna,296405,
Boy,Cameron,294544,
Girl,Peggy,294231,
Boy,Caleb,294194,
Girl,Eleanor,292713,
Boy,Isaac,292709,
Boy,Todd,292608,
Girl,Jamie,292438,
Boy,Earl,291904,
Boy,Francis,291827,
Boy,Jimmy,291501,
Boy,Mason,291402,
Boy,Danny,291046,
Girl,Audrey,290898,
Girl,Rita,287585,
Boy,Luke,286681,
Boy,Dale,286547,
Boy,Alex,286229,
Girl,Paula,283889,
Girl,Clara,283518,
Girl,Wanda,283048,
Boy,Joel,282890,
Boy,Evan,282744,
Girl,Norma,281856,
Boy,Luis,281214,
Girl,Courtney,280434,
Girl,Ethel,280148,
Boy,Nathaniel,279797,
Girl,Wendy,279245,
